,0,1,2
0,0,4.0695445058346715,2.7368040622359424
1,1,5.038922549560167,2.729793860887678
2,2,4.935351398329573,2.3741096607965857
3,3,4.460552520018304,2.5587899972185166
4,4,4.375117555183853,3.011301975409863
5,5,4.241876249590804,2.779987229654332
6,6,4.821122537451931,2.6002156521123037
7,7,4.135106217460855,2.7118066298549124
8,8,4.840813540165709,2.3088521741996564
9,9,4.817673044574226,1.69157042277083
10,10,4.710444652881,2.121093950010143
11,11,5.153596207534787,2.1736336142811856
12,12,4.816966815630556,2.6558109872502254
13,13,4.960820501170792,2.030890081174016
14,14,5.139770073454741,1.9791842089039346
15,15,4.993813275801496,2.0198080864092947
16,16,4.742594206647868,2.603683377962728
17,17,5.05269123071833,2.214212091832272
18,18,4.924399426758497,2.74820585474399
19,19,4.250704276449329,2.3720411026703325
20,20,4.9443653194902595,2.1869260827153223
21,21,4.750576940065709,2.1301305396773857
22,22,4.750764915100864,2.615986375653642
23,23,4.721818197782475,2.6319820943569248
24,24,4.706427831867053,2.876030961748001
25,25,4.769825982547006,2.8424558337650647
26,26,4.496166276277736,2.693471086355003
27,27,4.329017721405164,2.9575044608384524
28,28,4.757470067520272,2.1692905299717227
29,29,5.166314218556174,2.361185609292991
30,30,4.428352133879108,2.729188859405478
31,31,4.7365775813821545,2.328050403045418
32,32,4.74266607110569,2.7118371569202266
33,33,4.638124843156008,2.4620494755401716
34,34,4.75903043534793,2.0216446402562287
35,35,4.911822688370532,2.092916067316099
36,36,4.701793653614249,2.941263643241334
37,37,4.976403688286982,2.6276503692097393
38,38,4.374433512044637,2.4790935857179317
39,39,4.599779638385564,2.5494125080027397
40,40,4.714631207597809,2.5173590744600696
41,41,6.377070993273379,2.256916727022314
42,42,4.680541077824454,2.293278233563297
43,43,4.580947676171084,2.3400099281538327
44,44,4.973499545057652,2.765829394690521
45,45,5.410199730016068,2.9618658621903546
46,46,6.0160218742246965,2.207691298738979
47,47,5.136132488519945,2.6387403992355276
48,48,4.722318687999935,2.6773065080109615
49,49,4.679293985901531,2.867911887153249
50,50,4.742404115154123,1.9858210968525407
51,51,4.323514253200575,2.678083877387338
52,52,4.37495554194132,2.834520845163413
53,53,5.527857944958793,2.391230571324555
54,54,6.3220909459158765,2.4877836911484335
55,55,4.936341517523293,2.38034958059448
56,56,4.837003207699911,1.1354088329567265
57,57,5.270210295359686,0.9229827177533119
58,58,4.692982514664689,0.7339048647224289
59,59,4.5682246410308744,0.7424981358525016
60,60,4.931888711135261,0.7244306849242803
61,61,4.750365626668826,0.7363827538183381
62,62,5.008925674134995,0.8548755431988863
63,63,4.441687019459025,0.6996316072594067
64,64,4.538494882912095,0.6968044707969809
65,65,4.782088857755714,0.7969758514269382
66,66,4.4746897527748795,0.6781890598537271
67,67,4.684972956637633,0.24445250600848342
68,68,4.45903462318569,0.5729242717933379
69,69,4.6437761753557,0.22669584062106907
70,70,3.778581404551001,0.19810587313812025
71,71,4.5840043890742885,0.42488505826199224
72,72,4.911079768686946,0.8723674284628434
73,73,5.575590505425073,2.019227868655094
74,74,4.883998992824211,2.629024870755767
75,75,4.984957628647386,2.3351467408717825
76,76,4.605170101062782,2.3632335395000377
77,77,4.721636819726416,2.3848274808968624
78,78,5.002446042584887,2.189081943696818
79,79,4.4545095822518075,2.7033146744228
80,80,4.432870578793577,2.6943856885382207
81,81,4.437380253969844,2.8342266549780346
82,82,4.532295542540637,0.7386697566670157
83,83,4.522439842670179,0.664117632464253
84,84,4.685956034805592,0.37723450983079454
85,85,4.1942011573214195,0.4348147851505588
86,86,3.972228322487975,0.11964177938972831
87,87,4.7146830999452565,0.8702478418837875
88,88,4.2333845010518125,0.44669495765295275
89,89,4.851750317308614,0.5906398298894386
90,90,3.965007955451223,0.19859049987844976
91,91,4.471816184034479,0.284483896307973
92,92,4.62974298819823,0.6509283621807196
93,93,4.9469251825967415,0.8767441978206162
94,94,4.718909305898317,0.8890565732049261
95,95,4.750035330659353,0.6822356388544614
96,96,4.0610469173637735,0.23106286374793128
97,97,4.57817265724369,0.5976762119305801
98,98,3.8999283740655257,0.12671278241879794
99,99,5.386630233729975,2.055855270095935
100,100,4.654041917633653,0.44567981898584047
101,101,5.160761889150054,1.2124933116076793
102,102,4.757043224000804,0.9332031378617224
103,103,4.61102394375171,0.9115260992652826
104,104,5.189888764898349,1.076032928915035
105,105,5.000479218708288,1.542502483942576
106,106,4.841324988140799,0.8235689569200375
107,107,4.392950944800805,0.5563275670106775
108,108,5.4051189231278025,1.254464366590804
109,109,4.433132543591802,0.4176450738341603
110,110,4.2153074879578885,0.4164547485019044
111,111,5.168364379971982,0.8938583970474785
112,112,4.138901994903293,0.08181188527395536
113,113,4.297123176190249,0.5573070141995946
